date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:21:23	847272/847272	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22ceda8-5cf3eafafa880%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/webfonts/fa-solid-900.svg	E:/Project%20Code/Asp.net%20MVC/ProjectSecond_RoomChatting/RoomChatting/dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/webfonts/fa-solid-900.svg	(from https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/css/all.min.css)
09:21:23	196/196	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2016%20Jun%202023%2002:21:25%20GMT	https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/mcustomscroll/mCSB_buttons.png	E:/Project%20Code/Asp.net%20MVC/ProjectSecond_RoomChatting/RoomChatting/dreamschat.dreamguystech.com/template-html/template2/assets/plugins/mcustomscroll/mCSB_buttons.png	(from https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/mcustomscroll/jquery.mCustomScrollbar.css)
09:21:24	143258/143258	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2222f9a-5cf3eafafa880%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/fonts/MaterialIcons-Regular.eot	E:/Project%20Code/Asp.net%20MVC/ProjectSecond_RoomChatting/RoomChatting/dreamschat.dreamguystech.com/template-html/template2/assets/fonts/MaterialIcons-Regular.eot	(from https://dreamschat.dreamguystech.com/template-html/template2/assets/css/app.css)
09:21:25	44300/44300	---M--	200	added ('OK')	text/html	etag:%22ad0c-5cf3eafafa880%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/fonts/MaterialIcons-Regular.woff2	E:/Project%20Code/Asp.net%20MVC/ProjectSecond_RoomChatting/RoomChatting/dreamschat.dreamguystech.com/template-html/template2/assets/fonts/MaterialIcons-Regular.html	(from https://dreamschat.dreamguystech.com/template-html/template2/assets/css/app.css)
09:21:26	57620/57620	---MCZ	200	added ('OK')	application/font-woff	etag:W/%22e114-5cf3eafafa880%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/fonts/MaterialIcons-Regular.woff	E:/Project%20Code/Asp.net%20MVC/ProjectSecond_RoomChatting/RoomChatting/dreamschat.dreamguystech.com/template-html/template2/assets/fonts/MaterialIcons-Regular.woff	(from https://dreamschat.dreamguystech.com/template-html/template2/assets/css/app.css)
09:21:27	128180/128180	---MCZ	200	added ('OK')	application/font-sfnt	etag:W/%221f4b4-5cf3eafafa880%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/fonts/MaterialIcons-Regular.ttf	E:/Project%20Code/Asp.net%20MVC/ProjectSecond_RoomChatting/RoomChatting/dreamschat.dreamguystech.com/template-html/template2/assets/fonts/MaterialIcons-Regular.ttf	(from https://dreamschat.dreamguystech.com/template-html/template2/assets/css/app.css)
09:21:28	156161/156161	---M--	200	added ('OK')	image/png	etag:%2226201-5cf3eafafa880%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/img/chat-bg.png	E:/Project%20Code/Asp.net%20MVC/ProjectSecond_RoomChatting/RoomChatting/dreamschat.dreamguystech.com/template-html/template2/assets/img/chat-bg.png	(from https://dreamschat.dreamguystech.com/template-html/template2/assets/css/app.css)
09:21:28	196/196	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2016%20Jun%202023%2002:21:30%20GMT	https://dreamschat.dreamguystech.com/template-html/template2/assets/img/top-curve-bg.png	E:/Project%20Code/Asp.net%20MVC/ProjectSecond_RoomChatting/RoomChatting/dreamschat.dreamguystech.com/template-html/template2/assets/img/top-curve-bg.png	(from https://dreamschat.dreamguystech.com/template-html/template2/assets/css/app.css)
09:21:30	1007763/1007763	---M--	200	added ('OK')	image/jpeg	etag:%22f6093-5cf3eafafa880%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/img/vidio-call-bg.jpg	E:/Project%20Code/Asp.net%20MVC/ProjectSecond_RoomChatting/RoomChatting/dreamschat.dreamguystech.com/template-html/template2/assets/img/vidio-call-bg.jpg	(from https://dreamschat.dreamguystech.com/template-html/template2/assets/css/app.css)
09:21:30	265273/265273	---M--	200	added ('OK')	image/png	etag:%2240c39-5cf3eafafa880%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/img/login-email.png	E:/Project%20Code/Asp.net%20MVC/ProjectSecond_RoomChatting/RoomChatting/dreamschat.dreamguystech.com/template-html/template2/assets/img/login-email.png	(from https://dreamschat.dreamguystech.com/template-html/template2/assets/css/app.css)
09:21:31	313966/313966	---M--	200	added ('OK')	image/png	etag:%224ca6e-5cf3eafafa880%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/img/signup-email.png	E:/Project%20Code/Asp.net%20MVC/ProjectSecond_RoomChatting/RoomChatting/dreamschat.dreamguystech.com/template-html/template2/assets/img/signup-email.png	(from https://dreamschat.dreamguystech.com/template-html/template2/assets/css/app.css)
09:21:32	240759/240759	---M--	200	added ('OK')	image/png	etag:%223ac77-5cf3eafafa880%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/img/otp-bg.png	E:/Project%20Code/Asp.net%20MVC/ProjectSecond_RoomChatting/RoomChatting/dreamschat.dreamguystech.com/template-html/template2/assets/img/otp-bg.png	(from https://dreamschat.dreamguystech.com/template-html/template2/assets/css/app.css)
